0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,0.8,0.81,0.87,0.74,0.83,0.67,0.66,0.49,0.78,0.8,0.73,0.65,0.5,0.62,0.51,0.82,0.67,0.8,0.79,0.77,0.61,0.6,0.84,0.81,0.49,0.84,0.82,0.83,0.69,0.74,0.6,0.82,0.52,0.53,0.86,0.75,0.53,0.83,0.85,0.77,0.6,0.89,0.5,0.54,0.87,0.82,0.76,0.67,0.67,0.62,0.76,0.76,0.76,0.77,0.59,0.78,0.54,0.78,0.56,0.78,0.77,0.56,0.82,0.81,0.63,0.8,0.69,0.85,0.8,0.78,0.87,0.83,0.78,0.77,0.75,0.58,0.85,0.75,0.49,0.71,0.81,0.81,0.79,0.76,0.71,0.87,0.82,0.78,0.49,0.78,0.8,0.77,0.5,0.5,0.87,0.88,0.63,0.77,0.57,0.7,
2,0.5,0.5,0.79,0.82,0.78,0.78,0.91,0.5,0.52,0.61,0.5,0.87,0.87,0.89,0.5,0.87,0.82,0.75,0.95,0.83,0.82,0.94,0.76,0.78,0.55,0.88,0.5,0.83,0.83,0.76,0.6,0.79,0.55,0.88,0.87,0.82,0.61,0.89,0.57,0.5,0.87,0.9,0.81,0.5,0.55,0.82,0.5,0.79,0.83,0.83,0.5,0.74,0.86,0.5,0.5,0.69,0.76,0.81,0.5,0.5,0.85,0.9,0.82,0.54,0.58,0.55,0.62,0.54,0.89,0.91,0.86,0.94,0.72,0.61,0.76,0.5,0.84,0.49,0.8,0.63,0.75,0.5,0.7,0.82,0.8,0.88,0.92,0.78,0.81,0.84,0.5,0.5,0.81,0.89,0.76,0.74,0.5,0.71,0.73,0.76,
3,0.86,0.86,0.5,0.66,0.7,0.91,0.54,0.88,0.84,0.85,0.85,0.7,0.84,0.81,0.5,0.96,0.8,0.83,0.5,0.74,0.8,0.9,0.5,0.86,0.79,0.81,0.67,0.87,0.79,0.74,0.5,0.91,0.89,0.78,0.75,0.84,0.74,0.75,0.93,0.79,0.84,0.53,0.69,0.5,0.5,0.71,0.76,0.76,0.77,0.74,0.74,0.9,0.75,0.81,0.66,0.79,0.73,0.5,0.91,0.91,0.76,0.81,0.83,0.8,0.85,0.71,0.82,0.75,0.69,0.81,0.92,0.95,0.51,0.81,0.83,0.74,0.84,0.83,0.5,0.7,0.75,0.55,0.83,0.7,0.79,0.71,0.8,0.84,0.48,0.88,0.85,0.45,0.52,0.5,0.7,0.81,0.85,0.7,0.89,0.69,
4,0.5,0.49,0.5,0.5,0.5,0.5,0.49,0.52,0.5,0.5,0.51,0.5,0.5,0.41,0.5,0.47,0.47,0.57,0.49,0.57,0.5,0.49,0.5,0.52,0.5,0.5,0.52,0.6,0.46,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.47,0.52,0.49,0.5,0.51,0.46,0.51,0.51,0.47,0.53,0.5,0.5,0.52,0.5,0.5,0.53,0.45,0.5,0.5,0.53,0.5,0.53,0.5,0.53,0.5,0.52,0.53,0.54,0.55,0.5,0.5,0.5,0.48,0.45,0.5,0.5,0.5,0.49,0.5,0.48,0.5,0.52,0.5,0.5,0.5,0.51,0.5,0.5,0.47,0.5,0.5,0.5,0.45,0.39,0.49,0.5,0.5,
5,0.76,0.5,0.83,0.75,0.54,0.87,0.8,0.86,0.74,0.71,0.61,0.8,0.81,0.73,0.67,0.63,0.83,0.84,0.85,0.63,0.82,0.61,0.7,0.69,0.68,0.77,0.74,0.78,0.73,0.5,0.71,0.74,0.81,0.86,0.8,0.83,0.85,0.75,0.69,0.72,0.86,0.88,0.9,0.8,0.84,0.57,0.75,0.69,0.83,0.77,0.5,0.78,0.76,0.59,0.83,0.74,0.84,0.84,0.74,0.76,0.67,0.48,0.8,0.79,0.75,0.78,0.55,0.75,0.76,0.67,0.83,0.81,0.83,0.82,0.79,0.64,0.59,0.77,0.69,0.89,0.84,0.75,0.66,0.78,0.7,0.7,0.8,0.79,0.5,0.87,0.82,0.75,0.89,0.8,0.61,0.78,0.61,0.68,0.7,0.77,
6,0.59,0.58,0.73,0.45,0.46,0.54,0.8,0.52,0.62,0.5,0.51,0.56,0.45,0.48,0.47,0.52,0.46,0.48,0.56,0.5,0.54,0.5,0.49,0.62,0.49,0.43,0.79,0.56,0.58,0.81,0.76,0.81,0.51,0.55,0.53,0.48,0.53,0.51,0.53,0.53,0.5,0.63,0.71,0.78,0.51,0.48,0.56,0.54,0.52,0.49,0.64,0.55,0.5,0.5,0.52,0.5,0.55,0.51,0.5,0.5,0.66,0.58,0.59,0.57,0.74,0.5,0.76,0.5,0.49,0.55,0.54,0.78,0.44,0.55,0.57,0.54,0.6,0.5,0.52,0.5,0.53,0.5,0.53,0.46,0.59,0.49,0.51,0.71,0.57,0.49,0.63,0.46,0.51,0.57,0.6,0.45,0.53,0.56,0.59,0.5,
7,0.7,0.72,0.9,0.92,0.46,0.5,0.72,0.46,0.83,0.77,0.81,0.5,0.76,0.8,0.5,0.5,0.89,0.86,0.89,0.5,0.77,0.93,0.76,0.5,0.8,0.74,0.73,0.55,0.67,0.5,0.67,0.75,0.55,0.84,0.85,0.63,0.74,0.7,0.5,0.7,0.5,0.82,0.5,0.58,0.76,0.93,0.67,0.78,0.86,0.85,0.82,0.76,0.75,0.84,0.92,0.84,0.5,0.5,0.85,0.48,0.85,0.8,0.77,0.49,0.92,0.83,0.77,0.76,0.9,0.78,0.82,0.84,0.9,0.46,0.5,0.94,0.84,0.72,0.76,0.92,0.9,0.5,0.79,0.81,0.68,0.51,0.78,0.5,0.85,0.79,0.76,0.45,0.72,0.7,0.76,0.83,0.83,0.87,0.74,0.63,
8,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,
9,0.79,0.8,0.69,0.5,0.84,0.72,0.82,0.76,0.78,0.79,0.78,0.82,0.73,0.58,0.83,0.62,0.65,0.75,0.81,0.69,0.62,0.76,0.68,0.82,0.69,0.75,0.86,0.7,0.8,0.72,0.78,0.81,0.76,0.63,0.61,0.68,0.73,0.59,0.68,0.64,0.68,0.75,0.64,0.8,0.66,0.72,0.57,0.55,0.49,0.73,0.65,0.62,0.9,0.67,0.73,0.56,0.87,0.83,0.76,0.85,0.62,0.81,0.77,0.68,0.77,0.65,0.84,0.5,0.68,0.59,0.66,0.83,0.69,0.62,0.71,0.8,0.73,0.77,0.88,0.5,0.76,0.67,0.63,0.81,0.64,0.77,0.78,0.6,0.72,0.75,0.58,0.79,0.8,0.68,0.77,0.87,0.73,0.71,0.73,0.74,
